Weedsps,Rate,Rateunit,RateM,RateunitM,Trt,Rep,Population,Run,Herbicide,TRT,Y
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,Tarnov,1,Amitrole,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,2,Tarnov,1,Amitrole,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,3,Tarnov,1,Amitrole,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,4,Tarnov,1,Amitrole,Control,0
Waterhemp,0.37828,fl oz/A,6.634375,g AE/ha,2,1,Tarnov,1,Amitrole,Control,5
Waterhemp,0.37828,fl oz/A,6.634375,g AE/ha,2,2,Tarnov,1,Amitrole,Control,10
Waterhemp,0.37828,fl oz/A,6.634375,g AE/ha,2,3,Tarnov,1,Amitrole,Control,10
Waterhemp,0.37828,fl oz/A,6.634375,g AE/ha,2,4,Tarnov,1,Amitrole,Control,10
Waterhemp,0.75656,fl oz/A,13.26875,g AE/ha,3,1,Tarnov,1,Amitrole,Control,20
Waterhemp,0.75656,fl oz/A,13.26875,g AE/ha,3,2,Tarnov,1,Amitrole,Control,15
Waterhemp,0.75656,fl oz/A,13.26875,g AE/ha,3,3,Tarnov,1,Amitrole,Control,20
Waterhemp,0.75656,fl oz/A,13.26875,g AE/ha,3,4,Tarnov,1,Amitrole,Control,10
Waterhemp,1.51312,fl oz/A,26.5375,g AE/ha,4,1,Tarnov,1,Amitrole,Control,40
Waterhemp,1.51312,fl oz/A,26.5375,g AE/ha,4,2,Tarnov,1,Amitrole,Control,55
Waterhemp,1.51312,fl oz/A,26.5375,g AE/ha,4,3,Tarnov,1,Amitrole,Control,30
Waterhemp,1.51312,fl oz/A,26.5375,g AE/ha,4,4,Tarnov,1,Amitrole,Control,45
Waterhemp,3.0301,fl oz/A,53.075,g AE/ha,5,1,Tarnov,1,Amitrole,Control,60
Waterhemp,3.0301,fl oz/A,53.075,g AE/ha,5,2,Tarnov,1,Amitrole,Control,80
