Weedsps,Rate,Rateunit,RateM,RateunitM,Trt,Rep,Population,Run,Herbicide,TRT,Y
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,Tarnov,1,PBO,RedBio,22
Waterhemp,0,fl oz/A,0,g AE/ha,1,2,Tarnov,1,PBO,RedBio,1
Waterhemp,0,fl oz/A,0,g AE/ha,1,3,Tarnov,1,PBO,RedBio,-21
Waterhemp,0,fl oz/A,0,g AE/ha,1,4,Tarnov,1,PBO,RedBio,-2
Waterhemp,4,fl oz/A,280,g AE/ha,2,1,Tarnov,1,PBO,RedBio,-17
Waterhemp,4,fl oz/A,280,g AE/ha,2,2,Tarnov,1,PBO,RedBio,12
Waterhemp,4,fl oz/A,280,g AE/ha,2,3,Tarnov,1,PBO,RedBio,29
Waterhemp,4,fl oz/A,280,g AE/ha,2,4,Tarnov,1,PBO,RedBio,-7
Waterhemp,8,fl oz/A,560,g AE/ha,3,1,Tarnov,1,PBO,RedBio,-6
Waterhemp,8,fl oz/A,560,g AE/ha,3,2,Tarnov,1,PBO,RedBio,8
Waterhemp,8,fl oz/A,560,g AE/ha,3,3,Tarnov,1,PBO,RedBio,-1
Waterhemp,8,fl oz/A,560,g AE/ha,3,4,Tarnov,1,PBO,RedBio,-11
Waterhemp,16,fl oz/A,1120,g AE/ha,4,1,Tarnov,1,PBO,RedBio,40
Waterhemp,16,fl oz/A,1120,g AE/ha,4,2,Tarnov,1,PBO,RedBio,13
Waterhemp,16,fl oz/A,1120,g AE/ha,4,3,Tarnov,1,PBO,RedBio,-16
Waterhemp,16,fl oz/A,1120,g AE/ha,4,4,Tarnov,1,PBO,RedBio,15
Waterhemp,32,fl oz/A,2250,g AE/ha,5,1,Tarnov,1,PBO,RedBio,13
Waterhemp,32,fl oz/A,2250,g AE/ha,5,2,Tarnov,1,PBO,RedBio,6
Waterhemp,32,fl oz/A,2250,g AE/ha,5,3,Tarnov,1,PBO,RedBio,23
Waterhemp,32,fl oz/A,2250,g AE/ha,5,4,Tarnov,1,PBO,RedBio,-4
Waterhemp,64,fl oz/A,4500,g AE/ha,6,1,Tarnov,1,PBO,RedBio,-10
Waterhemp,64,fl oz/A,4500,g AE/ha,6,2,Tarnov,1,PBO,RedBio,17
Waterhemp,64,fl oz/A,4500,g AE/ha,6,3,Tarnov,1,PBO,RedBio,30
Waterhemp,64,fl oz/A,4500,g AE/ha,6,4,Tarnov,1,PBO,RedBio,11
Waterhemp,128,fl oz/A,9000,g AE/ha,7,1,Tarnov,1,PBO,RedBio,16
Waterhemp,128,fl oz/A,9000,g AE/ha,7,2,Tarnov,1,PBO,RedBio,31
Waterhemp,128,fl oz/A,9000,g AE/ha,7,3,Tarnov,1,PBO,RedBio,30
Waterhemp,128,fl oz/A,9000,g AE/ha,7,4,Tarnov,1,PBO,RedBio,54
Waterhemp,256,fl oz/A,18000,g AE/ha,8,1,Tarnov,1,PBO,RedBio,46
Waterhemp,256,fl oz/A,18000,g AE/ha,8,2,Tarnov,1,PBO,RedBio,26
Waterhemp,256,fl oz/A,18000,g AE/ha,8,3,Tarnov,1,PBO,RedBio,-15
Waterhemp,256,fl oz/A,18000,g AE/ha,8,4,Tarnov,1,PBO,RedBio,59
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,Tarnov,2,PBO,RedBio,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,2,Tarnov,2,PBO,RedBio,3
Waterhemp,0,fl oz/A,0,g AE/ha,1,3,Tarnov,2,PBO,RedBio,18
Waterhemp,0,fl oz/A,0,g AE/ha,1,4,Tarnov,2,PBO,RedBio,-21
Waterhemp,4,fl oz/A,280,g AE/ha,2,1,Tarnov,2,PBO,RedBio,30
Waterhemp,4,fl oz/A,280,g AE/ha,2,2,Tarnov,2,PBO,RedBio,-31
Waterhemp,4,fl oz/A,280,g AE/ha,2,3,Tarnov,2,PBO,RedBio,-41
Waterhemp,4,fl oz/A,280,g AE/ha,2,4,Tarnov,2,PBO,RedBio,-25
Waterhemp,8,fl oz/A,560,g AE/ha,3,1,Tarnov,2,PBO,RedBio,-5
Waterhemp,8,fl oz/A,560,g AE/ha,3,2,Tarnov,2,PBO,RedBio,45
Waterhemp,8,fl oz/A,560,g AE/ha,3,3,Tarnov,2,PBO,RedBio,-59
Waterhemp,8,fl oz/A,560,g AE/ha,3,4,Tarnov,2,PBO,RedBio,-30
Waterhemp,16,fl oz/A,1120,g AE/ha,4,1,Tarnov,2,PBO,RedBio,2
Waterhemp,16,fl oz/A,1120,g AE/ha,4,2,Tarnov,2,PBO,RedBio,36
Waterhemp,16,fl oz/A,1120,g AE/ha,4,3,Tarnov,2,PBO,RedBio,5
Waterhemp,16,fl oz/A,1120,g AE/ha,4,4,Tarnov,2,PBO,RedBio,-29
Waterhemp,32,fl oz/A,2250,g AE/ha,5,1,Tarnov,2,PBO,RedBio,-86
Waterhemp,32,fl oz/A,2250,g AE/ha,5,2,Tarnov,2,PBO,RedBio,-21
Waterhemp,32,fl oz/A,2250,g AE/ha,5,3,Tarnov,2,PBO,RedBio,-33
Waterhemp,32,fl oz/A,2250,g AE/ha,5,4,Tarnov,2,PBO,RedBio,-33
Waterhemp,64,fl oz/A,4500,g AE/ha,6,1,Tarnov,2,PBO,RedBio,-28
Waterhemp,64,fl oz/A,4500,g AE/ha,6,2,Tarnov,2,PBO,RedBio,-15
Waterhemp,64,fl oz/A,4500,g AE/ha,6,3,Tarnov,2,PBO,RedBio,-25
Waterhemp,64,fl oz/A,4500,g AE/ha,6,4,Tarnov,2,PBO,RedBio,-57
Waterhemp,128,fl oz/A,9000,g AE/ha,7,1,Tarnov,2,PBO,RedBio,-8
Waterhemp,128,fl oz/A,9000,g AE/ha,7,2,Tarnov,2,PBO,RedBio,-14
Waterhemp,128,fl oz/A,9000,g AE/ha,7,3,Tarnov,2,PBO,RedBio,-19
Waterhemp,128,fl oz/A,9000,g AE/ha,7,4,Tarnov,2,PBO,RedBio,-3
Waterhemp,256,fl oz/A,18000,g AE/ha,8,1,Tarnov,2,PBO,RedBio,-6
Waterhemp,256,fl oz/A,18000,g AE/ha,8,2,Tarnov,2,PBO,RedBio,-29
Waterhemp,256,fl oz/A,18000,g AE/ha,8,3,Tarnov,2,PBO,RedBio,-1
Waterhemp,256,fl oz/A,18000,g AE/ha,8,4,Tarnov,2,PBO,RedBio,19
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,Tarnov,1,PBO,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,2,Tarnov,1,PBO,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,3,Tarnov,1,PBO,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,4,Tarnov,1,PBO,Control,0
Waterhemp,4,fl oz/A,280,g AE/ha,2,1,Tarnov,1,PBO,Control,0
Waterhemp,4,fl oz/A,280,g AE/ha,2,2,Tarnov,1,PBO,Control,0
Waterhemp,4,fl oz/A,280,g AE/ha,2,3,Tarnov,1,PBO,Control,0
Waterhemp,4,fl oz/A,280,g AE/ha,2,4,Tarnov,1,PBO,Control,0
Waterhemp,8,fl oz/A,560,g AE/ha,3,1,Tarnov,1,PBO,Control,5
Waterhemp,8,fl oz/A,560,g AE/ha,3,2,Tarnov,1,PBO,Control,5
Waterhemp,8,fl oz/A,560,g AE/ha,3,3,Tarnov,1,PBO,Control,5
Waterhemp,8,fl oz/A,560,g AE/ha,3,4,Tarnov,1,PBO,Control,5
Waterhemp,16,fl oz/A,1120,g AE/ha,4,1,Tarnov,1,PBO,Control,5
Waterhemp,16,fl oz/A,1120,g AE/ha,4,2,Tarnov,1,PBO,Control,10
Waterhemp,16,fl oz/A,1120,g AE/ha,4,3,Tarnov,1,PBO,Control,5
Waterhemp,16,fl oz/A,1120,g AE/ha,4,4,Tarnov,1,PBO,Control,5
Waterhemp,32,fl oz/A,2250,g AE/ha,5,1,Tarnov,1,PBO,Control,5
Waterhemp,32,fl oz/A,2250,g AE/ha,5,2,Tarnov,1,PBO,Control,5
Waterhemp,32,fl oz/A,2250,g AE/ha,5,3,Tarnov,1,PBO,Control,5
Waterhemp,32,fl oz/A,2250,g AE/ha,5,4,Tarnov,1,PBO,Control,5
Waterhemp,64,fl oz/A,4500,g AE/ha,6,1,Tarnov,1,PBO,Control,5
Waterhemp,64,fl oz/A,4500,g AE/ha,6,2,Tarnov,1,PBO,Control,5
Waterhemp,64,fl oz/A,4500,g AE/ha,6,3,Tarnov,1,PBO,Control,10
Waterhemp,64,fl oz/A,4500,g AE/ha,6,4,Tarnov,1,PBO,Control,10
Waterhemp,128,fl oz/A,9000,g AE/ha,7,1,Tarnov,1,PBO,Control,5
Waterhemp,128,fl oz/A,9000,g AE/ha,7,2,Tarnov,1,PBO,Control,5
Waterhemp,128,fl oz/A,9000,g AE/ha,7,3,Tarnov,1,PBO,Control,10
Waterhemp,128,fl oz/A,9000,g AE/ha,7,4,Tarnov,1,PBO,Control,5
Waterhemp,256,fl oz/A,18000,g AE/ha,8,1,Tarnov,1,PBO,Control,10
Waterhemp,256,fl oz/A,18000,g AE/ha,8,2,Tarnov,1,PBO,Control,10
Waterhemp,256,fl oz/A,18000,g AE/ha,8,3,Tarnov,1,PBO,Control,10
Waterhemp,256,fl oz/A,18000,g AE/ha,8,4,Tarnov,1,PBO,Control,15
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,Tarnov,2,PBO,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,2,Tarnov,2,PBO,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,3,Tarnov,2,PBO,Control,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,4,Tarnov,2,PBO,Control,0
Waterhemp,4,fl oz/A,280,g AE/ha,2,1,Tarnov,2,PBO,Control,0
Waterhemp,4,fl oz/A,280,g AE/ha,2,2,Tarnov,2,PBO,Control,5
Waterhemp,4,fl oz/A,280,g AE/ha,2,3,Tarnov,2,PBO,Control,5
Waterhemp,4,fl oz/A,280,g AE/ha,2,4,Tarnov,2,PBO,Control,0
Waterhemp,8,fl oz/A,560,g AE/ha,3,1,Tarnov,2,PBO,Control,0
Waterhemp,8,fl oz/A,560,g AE/ha,3,2,Tarnov,2,PBO,Control,5
Waterhemp,8,fl oz/A,560,g AE/ha,3,3,Tarnov,2,PBO,Control,5
Waterhemp,8,fl oz/A,560,g AE/ha,3,4,Tarnov,2,PBO,Control,5
Waterhemp,16,fl oz/A,1120,g AE/ha,4,1,Tarnov,2,PBO,Control,5
Waterhemp,16,fl oz/A,1120,g AE/ha,4,2,Tarnov,2,PBO,Control,5
Waterhemp,16,fl oz/A,1120,g AE/ha,4,3,Tarnov,2,PBO,Control,5
Waterhemp,16,fl oz/A,1120,g AE/ha,4,4,Tarnov,2,PBO,Control,5
Waterhemp,32,fl oz/A,2250,g AE/ha,5,1,Tarnov,2,PBO,Control,5
Waterhemp,32,fl oz/A,2250,g AE/ha,5,2,Tarnov,2,PBO,Control,5
Waterhemp,32,fl oz/A,2250,g AE/ha,5,3,Tarnov,2,PBO,Control,5
Waterhemp,32,fl oz/A,2250,g AE/ha,5,4,Tarnov,2,PBO,Control,10
Waterhemp,64,fl oz/A,4500,g AE/ha,6,1,Tarnov,2,PBO,Control,0
Waterhemp,64,fl oz/A,4500,g AE/ha,6,2,Tarnov,2,PBO,Control,5
Waterhemp,64,fl oz/A,4500,g AE/ha,6,3,Tarnov,2,PBO,Control,5
Waterhemp,64,fl oz/A,4500,g AE/ha,6,4,Tarnov,2,PBO,Control,5
Waterhemp,128,fl oz/A,9000,g AE/ha,7,1,Tarnov,2,PBO,Control,5
Waterhemp,128,fl oz/A,9000,g AE/ha,7,2,Tarnov,2,PBO,Control,5
Waterhemp,128,fl oz/A,9000,g AE/ha,7,3,Tarnov,2,PBO,Control,5
Waterhemp,128,fl oz/A,9000,g AE/ha,7,4,Tarnov,2,PBO,Control,5
Waterhemp,256,fl oz/A,18000,g AE/ha,8,1,Tarnov,2,PBO,Control,5
Waterhemp,256,fl oz/A,18000,g AE/ha,8,2,Tarnov,2,PBO,Control,10
Waterhemp,256,fl oz/A,18000,g AE/ha,8,3,Tarnov,2,PBO,Control,10
Waterhemp,256,fl oz/A,18000,g AE/ha,8,4,Tarnov,2,PBO,Control,5
