Weedsps,CallistoRate,Rateunit,RateM,RateunitM,Trt,Rep,Population,DAT,IR,IRC
Waterhemp,0,fl oz/A,0,g AE/ha,16,1,Tarnov,7,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,16,2,Tarnov,7,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,16,3,Tarnov,7,0,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,1,Tarnov,7,40,20
Waterhemp,3,fl oz/A,105,g AE/ha,17,2,Tarnov,7,50,40
Waterhemp,3,fl oz/A,105,g AE/ha,17,3,Tarnov,7,50,40
Waterhemp,6,fl oz/A,210,g AE/ha,18,1,Tarnov,7,55,40
Waterhemp,6,fl oz/A,210,g AE/ha,18,2,Tarnov,7,40,50
Waterhemp,6,fl oz/A,210,g AE/ha,18,3,Tarnov,7,70,60
Waterhemp,12,fl oz/A,420,g AE/ha,19,1,Tarnov,7,70,60
Waterhemp,12,fl oz/A,420,g AE/ha,19,2,Tarnov,7,60,50
Waterhemp,12,fl oz/A,420,g AE/ha,19,3,Tarnov,7,75,70
Waterhemp,24,fl oz/A,840,g AE/ha,20,1,Tarnov,7,85,70
Waterhemp,24,fl oz/A,840,g AE/ha,20,2,Tarnov,7,85,70
Waterhemp,24,fl oz/A,840,g AE/ha,20,3,Tarnov,7,85,70
Waterhemp,0,fl oz/A,0,g AE/ha,16,1,Tarnov,14,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,16,2,Tarnov,14,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,16,3,Tarnov,14,0,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,1,Tarnov,14,40,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,2,Tarnov,14,40,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,3,Tarnov,14,30,0
Waterhemp,6,fl oz/A,210,g AE/ha,18,1,Tarnov,14,40,0
Waterhemp,6,fl oz/A,210,g AE/ha,18,2,Tarnov,14,40,5
Waterhemp,6,fl oz/A,210,g AE/ha,18,3,Tarnov,14,80,20
Waterhemp,12,fl oz/A,420,g AE/ha,19,1,Tarnov,14,60,30
Waterhemp,12,fl oz/A,420,g AE/ha,19,2,Tarnov,14,60,20
Waterhemp,12,fl oz/A,420,g AE/ha,19,3,Tarnov,14,60,50
Waterhemp,24,fl oz/A,840,g AE/ha,20,1,Tarnov,14,95,40
Waterhemp,24,fl oz/A,840,g AE/ha,20,2,Tarnov,14,80,50
Waterhemp,24,fl oz/A,840,g AE/ha,20,3,Tarnov,14,90,40
Waterhemp,0,fl oz/A,0,g AE/ha,16,1,Tarnov,21,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,16,2,Tarnov,21,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,16,3,Tarnov,21,0,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,1,Tarnov,21,30,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,2,Tarnov,21,20,15
Waterhemp,3,fl oz/A,105,g AE/ha,17,3,Tarnov,21,20,15
Waterhemp,6,fl oz/A,210,g AE/ha,18,1,Tarnov,21,30,10
Waterhemp,6,fl oz/A,210,g AE/ha,18,2,Tarnov,21,20,0
Waterhemp,6,fl oz/A,210,g AE/ha,18,3,Tarnov,21,80,0
Waterhemp,12,fl oz/A,420,g AE/ha,19,1,Tarnov,21,50,15
Waterhemp,12,fl oz/A,420,g AE/ha,19,2,Tarnov,21,40,10
Waterhemp,12,fl oz/A,420,g AE/ha,19,3,Tarnov,21,50,15
Waterhemp,24,fl oz/A,840,g AE/ha,20,1,Tarnov,21,90,20
Waterhemp,24,fl oz/A,840,g AE/ha,20,2,Tarnov,21,80,20
Waterhemp,24,fl oz/A,840,g AE/ha,20,3,Tarnov,21,80,40
Waterhemp,0,fl oz/A,0,g AE/ha,16,1,Tarnov,21,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,16,2,Tarnov,21,0,0
Waterhemp,0,fl oz/A,0,g AE/ha,16,3,Tarnov,21,0,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,1,Tarnov,21,15,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,2,Tarnov,21,10,0
Waterhemp,3,fl oz/A,105,g AE/ha,17,3,Tarnov,21,15,15
Waterhemp,6,fl oz/A,210,g AE/ha,18,1,Tarnov,21,25,0
Waterhemp,6,fl oz/A,210,g AE/ha,18,2,Tarnov,21,20,10
Waterhemp,6,fl oz/A,210,g AE/ha,18,3,Tarnov,21,80,10
Waterhemp,12,fl oz/A,420,g AE/ha,19,1,Tarnov,21,40,10
Waterhemp,12,fl oz/A,420,g AE/ha,19,2,Tarnov,21,30,10
Waterhemp,12,fl oz/A,420,g AE/ha,19,3,Tarnov,21,50,15
Waterhemp,24,fl oz/A,840,g AE/ha,20,1,Tarnov,21,90,20
Waterhemp,24,fl oz/A,840,g AE/ha,20,2,Tarnov,21,75,15
Waterhemp,24,fl oz/A,840,g AE/ha,20,3,Tarnov,21,60,40
