Group1,Group2,Group3,P450,Herbicide,TRT,REP,BM1/4,Biomass,BR
Tembo,Mesotrione,Topro,Check,Check,1,1,65.5,262,0
Tembo,Mesotrione,Topro,Check,Check,1,2,36.1,144.4,0
Tembo,Mesotrione,Topro,Check,Check,1,3,69.6,278.4,0
none,Mesotrione,none,Check,Callisto,2,1,50.5,202,0.115070094
none,Mesotrione,none,Check,Callisto,2,2,57.2,228.8,0.1012
none,Mesotrione,none,Check,Callisto,2,3,61,244,0.12654
Tembo,none,none,Check,Laudis,3,1,35.7,142.8,0.374415888
Tembo,none,none,Check,Laudis,3,2,39.4,157.6,0.309579439
Tembo,none,none,Check,Laudis,3,3,28.3,113.2,0.504088785
none,none,Topro,Check,Impact,4,1,12.7,50.8,0.777453271
none,none,Topro,Check,Impact,4,2,4.5,18,0.92114486
none,none,Topro,Check,Impact,4,3,4.3,17.2,0.924649533
none,Mesotrione,none,Malathion,Callisto,5,1,66.9,267.6,0.127686916
none,Mesotrione,none,Malathion,Callisto,5,2,36.8,147.2,0.155140187
none,Mesotrione,none,Malathion,Callisto,5,3,45.7,182.8,0.099182243
Tembo,none,none,Malathion,Laudis,6,1,6.7,26.8,0.882593458
Tembo,none,none,Malathion,Laudis,6,2,2.8,11.2,0.950934579
Tembo,none,none,Malathion,Laudis,6,3,6.2,24.8,0.89135514
none,none,Topro,Malathion,Impact,7,1,5.4,21.6,0.905373832
none,none,Topro,Malathion,Impact,7,2,6.6,26.4,0.884345794
none,none,Topro,Malathion,Impact,7,3,1.6,6.4,0.971962617
none,Mesotrione,none,Amitrole,Callisto,8,1,11.6,46.4,0.796728972
none,Mesotrione,none,Amitrole,Callisto,8,2,20,80,0.64953271
none,Mesotrione,none,Amitrole,Callisto,8,3,19.9,79.6,0.651285047
Tembo,none,none,Amitrole,Laudis,9,1,14.7,58.8,0.742406542
Tembo,none,none,Amitrole,Laudis,9,2,5,20,0.912383178
Tembo,none,none,Amitrole,Laudis,9,3,22.1,88.4,0.612733645
none,none,Topro,Amitrole,Impact,10,1,9.6,38.4,0.831775701
none,none,Topro,Amitrole,Impact,10,2,1,4,0.982476636
none,none,Topro,Amitrole,Impact,10,3,2.2,8.8,0.961448598
none,Mesotrione,none,PBO,Callisto,11,1,42,168,0.264018692
none,Mesotrione,none,PBO,Callisto,11,2,48.4,193.6,0.151869159
none,Mesotrione,none,PBO,Callisto,11,3,43.4,173.6,0.239485981
Tembo,none,none,PBO,Laudis,12,1,3.7,14.8,0.935163551
Tembo,none,none,PBO,Laudis,12,2,5.9,23.6,0.89661215
Tembo,none,none,PBO,Laudis,12,3,6.4,25.6,0.887850467
none,none,Topro,PBO,Impact,13,1,7.1,28.4,0.875584112
none,none,Topro,PBO,Impact,13,2,2.8,11.2,0.950934579
none,none,Topro,PBO,Impact,13,3,7.1,28.4,0.875584112
none,none,none,Malathion,Check,14,1,30,120,0.012546
none,none,none,Malathion,Check,14,2,93.7,374.8,0.021546
none,none,none,Malathion,Check,14,3,60.5,242,0.0545
none,none,none,Amitrole,Check,15,1,39.6,158.4,0.206074766
none,none,none,Amitrole,Check,15,2,32.3,129.2,0.133995327
none,none,none,Amitrole,Check,15,3,71.3,285.2,0.150584112
none,none,none,PBO,Check,16,1,50.3,201.2,0.118574766
none,none,none,PBO,Check,16,2,32.6,130.4,0.428738318
none,none,none,PBO,Check,16,3,47,188,0.176401869
