P450 inhib,Herbicide,Biotype,hours,rep,Conc. (ng),Total amount (ug),Fresh wg. (g),ug/g ,,,,
Amitrole,Mesotrione,Resistant,12,1,7.962,39.81,1.002,39.73053892,,43.19665573,,62.11715087
Amitrole,Mesotrione,Resistant,12,2,8.163,40.815,0.858,47.56993007,,#VALUE!,,
Amitrole,Mesotrione,Resistant,12,3,7.792,38.96,1.286,30.29548989,,,,
Amitrole,Mesotrione,Resistant,12,4,16.789,83.945,1.521,55.19066404,,,,
Amitrole,Mesotrione,Resistant,24,5,10.74,53.7,1.342,40.01490313,,26.83253181,,
Amitrole,Mesotrione,Resistant,24,6,2.687,13.435,0.8,16.79375,,,,
Amitrole,Mesotrione,Resistant,24,7,5.705,28.525,1.24,23.00403226,,,,
Amitrole,Mesotrione,Resistant,24,8,4.733,23.665,0.86,27.51744186,,,,
Amitrole,Mesotrione,Resistant,72,9,0.49,2.45,0.952,2.573529412,,,,
Amitrole,Mesotrione,Resistant,72,10,1.047,5.235,0.689,7.59796807,,,,
Amitrole,Mesotrione,Resistant,72,11,0.371,1.855,0.451,4.11308204,,,,
Amitrole,Mesotrione,Resistant,72,12,0.78,3.9,1.367,2.852962692,,,,
Amitrole,Mesotrione,Resistant,168,13,0.262,1.31,1.061,1.23468426,,,,
Amitrole,Mesotrione,Resistant,168,14,0.187,0.935,1.455,0.642611684,,,,
Amitrole,Mesotrione,Resistant,168,15,0.027,0.135,1.262,0.106973059,,,,
Amitrole,Mesotrione,Resistant,168,16,0.088,0.44,1.106,0.397830018,,,,
Amitrole,Mesotrione,Resistant,336,17,-0.02,-0.1,2.567,-0.03895598,,,,
Amitrole,Mesotrione,Resistant,336,18,0.465,2.325,0.159,NA,,,,
Amitrole,Mesotrione,Resistant,336,19,-0.01,-0.05,0.156,-0.320512821,,,,
Amitrole,Mesotrione,Resistant,336,20,0.163,0.815,0.079,10.3164557,,,,
Malathion,Mesotrione,Resistant,12,1,8.46,42.3,0.653,NA,,46.15505593,,23.823468
Malathion,Mesotrione,Resistant,12,2,8.54,42.7,1.246,34.26966292,,,,
Malathion,Mesotrione,Resistant,12,3,8.596,42.98,0.753,57.07835325,,,,
Malathion,Mesotrione,Resistant,12,4,12.307,61.535,1.306,47.11715161,,,,
Malathion,Mesotrione,Resistant,24,5,1.985,9.925,1.152,8.615451389,,10.99573498,,
Malathion,Mesotrione,Resistant,24,6,3.212,16.06,1.246,12.88924559,,,,
Malathion,Mesotrione,Resistant,24,7,3.105,15.525,0.991,15.66599395,,,,
Malathion,Mesotrione,Resistant,24,8,1.357,6.785,0.996,6.812248996,,,,
Malathion,Mesotrione,Resistant,72,9,0.903,4.515,2.384,1.893875839,,,,
Malathion,Mesotrione,Resistant,72,10,1.219,6.095,1.853,3.289260658,,,,
Malathion,Mesotrione,Resistant,72,11,1.235,6.175,1.802,3.426748058,,,,
Malathion,Mesotrione,Resistant,72,12,4.234,21.17,1.479,14.31372549,,,,
Malathion,Mesotrione,Resistant,168,13,0.36,1.8,1.486,1.211305518,,,,
Malathion,Mesotrione,Resistant,168,14,0.882,4.41,1.342,3.286140089,,,,
Malathion,Mesotrione,Resistant,168,15,0.205,1.025,0.542,1.891143911,,,,
Malathion,Mesotrione,Resistant,168,16,1.295,6.475,1.8,3.597222222,,,,
Malathion,Mesotrione,Resistant,336,17,0.478,2.39,0.06,NA,,,,
Malathion,Mesotrione,Resistant,336,18,-0.024,-0.12,0.514,-0.233463035,,,,
