TRT,P450inhib,Herbicide,Biotype,h,rep,Conc,ConcX,Totalamount,Fresh wg. (g),X,y,Y
Aminotriozole,Aminotriozole,Tembotrione,Resistant,12,1,647.304,0,3236.52,0.769,4208.738622,0,100
Aminotriozole,Aminotriozole,Tembotrione,Resistant,12,2,354.168,0,1770.84,0.384,4611.5625,0,100
Aminotriozole,Aminotriozole,Tembotrione,Resistant,12,3,575.5,0,2877.5,0.78,3689.102564,0,100
Aminotriozole,Aminotriozole,Tembotrione,Resistant,12,4,98.436,0,492.18,0.858,573.6363636,0,100
Aminotriozole,Aminotriozole,Tembotrione,Resistant,24,5,66.271,39.17794352,331.355,0.269,1231.802974,42.33893745,57.66106255
Aminotriozole,Aminotriozole,Tembotrione,Resistant,24,6,74.279,42.26605102,371.395,0.309,1201.925566,43.25240733,56.74759267
Aminotriozole,Aminotriozole,Tembotrione,Resistant,24,7,621.212,36.68699206,3106.06,0.515,6031.184466,45.60296555,54.39703445
Aminotriozole,Aminotriozole,Tembotrione,Resistant,24,8,187.592,55.2128198,937.96,0.479,1958.162839,40.13125903,59.86874097
Aminotriozole,Aminotriozole,Tembotrione,Resistant,72,9,64.864,84.5138617,324.32,1.126,288.0284192,91.19383819,8.806161813
Aminotriozole,Aminotriozole,Tembotrione,Resistant,72,10,21.289,94.91729776,106.445,0.615,173.0813008,94.70822377,5.291776229
Aminotriozole,Aminotriozole,Tembotrione,Resistant,72,11,17.473,95.82835942,87.365,0.831,105.1323706,96.78568986,3.214310137
Aminotriozole,Aminotriozole,Tembotrione,Resistant,72,12,15.563,96.28436775,77.815,0.767,101.4537158,96.89816081,3.101839187
Aminotriozole,Aminotriozole,Tembotrione,Resistant,168,13,6.134,98.5355209,30.67,3.622,8.467697405,99.74110918,0.25889082
Aminotriozole,Aminotriozole,Tembotrione,Resistant,168,14,9.233,97.79564142,46.165,3.615,12.77040111,99.6095586,0.390441398
Aminotriozole,Aminotriozole,Tembotrione,Resistant,168,15,7.095,98.30608425,35.475,0.336,105.5803571,96.77199315,3.228006847
Aminotriozole,Aminotriozole,Tembotrione,Resistant,168,16,18.18,95.65956471,90.9,0.764,118.9790576,96.36234217,3.637657827
Aminotriozole,Aminotriozole,Tembotrione,Resistant,336,17,11.812,97.1799108,59.06,0.308,191.7532468,94.13734893,5.862651067
Aminotriozole,Aminotriozole,Tembotrione,Resistant,336,18,7.945,98.10314861,39.725,0.171,232.3099415,92.89737123,7.102628767
Aminotriozole,Aminotriozole,Tembotrione,Resistant,336,19,14.9,96.44265755,74.5,0.139,535.971223,98.61325132,1.386748678
Aminotriozole,Aminotriozole,Tembotrione,Resistant,336,20,12.79,96.94641544,63.95,0.07,913.5714286,92.06852764,7.931472356
Malathion,Malathion,Tembotrione,Resistant,12,1,752.719,0,3763.595,0.769,4894.141743,0,100
