TRT,P450inhib,Herbicide,Biotype,h,rep,Conc,ConcX,Totalamount,Fresh wg. (g),ug/g fresh,y
Aminotriazole,Aminotriazole,Mesotrione,Resistant,12,1,7.962,0,39.81,1.002,39.73053892,0
Aminotriazole,Aminotriazole,Mesotrione,Resistant,12,2,8.163,0,40.815,0.858,47.56993007,0
Aminotriazole,Aminotriazole,Mesotrione,Resistant,12,3,7.792,0,38.96,1.286,30.29548989,0
Aminotriazole,Aminotriazole,Mesotrione,Resistant,12,4,16.789,0,83.945,1.521,55.19066404,0
Aminotriazole,Aminotriazole,Mesotrione,Resistant,24,5,10.74,25.2446675,53.7,1.342,40.01490313,37.36573826
Aminotriazole,Aminotriazole,Mesotrione,Resistant,24,6,2.687,26.28607277,13.435,0.8,16.79375,41.12256906
Aminotriazole,Aminotriazole,Mesotrione,Resistant,24,7,5.705,28.41907152,28.525,1.24,23.00403226,41.74580272
Aminotriazole,Aminotriazole,Mesotrione,Resistant,24,8,4.733,20.61480552,23.665,0.86,27.51744186,31.29728646
Aminotriazole,Aminotriazole,Mesotrione,Resistant,72,9,0.49,93.85194479,2.45,0.952,2.573529412,94.04229478
Aminotriazole,Aminotriazole,Mesotrione,Resistant,72,10,1.047,86.86323714,5.235,0.689,7.59796807,87.4107493
Aminotriazole,Aminotriazole,Mesotrione,Resistant,72,11,0.371,95.34504391,1.855,0.451,4.11308204,88.47823964
Aminotriazole,Aminotriazole,Mesotrione,Resistant,72,12,0.78,90.21329987,3.9,1.367,2.852962692,90.39540841
Aminotriazole,Aminotriazole,Mesotrione,Resistant,168,13,0.262,96.71267252,1.31,1.061,1.23468426,97.14171331
Aminotriazole,Aminotriazole,Mesotrione,Resistant,168,14,0.187,97.65370138,0.935,1.455,0.642611684,98.51235779
Aminotriazole,Aminotriazole,Mesotrione,Resistant,168,15,0.027,99.66122961,0.135,1.262,0.106973059,99.75235801
Aminotriazole,Aminotriazole,Mesotrione,Resistant,168,16,0.088,98.89585947,0.44,1.106,0.397830018,99.07902588
Aminotriazole,Aminotriazole,Mesotrione,Resistant,336,17,-0.02,99,-0.1,2.567,-0.03895598,99.89
Aminotriazole,Aminotriazole,Mesotrione,Resistant,336,18,0.465,94.16562108,2.325,0.159,14.62264151,98.87
Aminotriazole,Aminotriazole,Mesotrione,Resistant,336,19,-0.01,99,-0.05,0.156,-0.320512821,99.874
Aminotriazole,Aminotriazole,Mesotrione,Resistant,336,20,0.163,97.95483061,0.815,0.079,10.3164557,99.871
Malathion,Malathion,Mesotrione,Resistant,12,1,8.46,0,42.3,0.653,64.77794793,0
Malathion,Malathion,Mesotrione,Resistant,12,2,8.54,0,42.7,1.246,34.26966292,0
Malathion,Malathion,Mesotrione,Resistant,12,3,8.596,0,42.98,0.753,57.07835325,0
Malathion,Malathion,Mesotrione,Resistant,12,4,12.307,0,61.535,1.306,47.11715161,0
Malathion,Malathion,Mesotrione,Resistant,24,5,1.985,79.0517901,9.925,1.152,8.615451389,83.04378786
Malathion,Malathion,Mesotrione,Resistant,24,6,3.212,66.102947,16.06,1.246,12.88924559,74.63246292
Malathion,Malathion,Mesotrione,Resistant,24,7,3.105,67.23214521,15.525,0.991,15.66599395,79.16749862
Malathion,Malathion,Mesotrione,Resistant,24,8,1.357,85.67923383,6.785,0.996,6.812248996,76.59270026
Malathion,Malathion,Mesotrione,Resistant,72,9,0.903,90.47041131,4.515,2.384,1.893875839,96.27263169
Malathion,Malathion,Mesotrione,Resistant,72,10,1.219,87.13558294,6.095,1.853,3.289260658,93.52635179
Malathion,Malathion,Mesotrione,Resistant,72,11,1.235,86.96673087,6.175,1.802,3.426748058,93.25576056
Malathion,Malathion,Mesotrione,Resistant,72,12,4.234,88.19,21.17,1.479,14.31372549,91.82892051
Malathion,Malathion,Mesotrione,Resistant,168,13,0.36,96.20082843,1.8,1.486,1.211305518,97.61600961
Malathion,Malathion,Mesotrione,Resistant,168,14,0.882,90.69202965,4.41,1.342,3.286140089,93.53249343
Malathion,Malathion,Mesotrione,Resistant,168,15,0.205,97.83658286,1.025,0.542,1.891143911,96.27800844
Malathion,Malathion,Mesotrione,Resistant,168,16,1.295,94.154,6.475,1.8,3.597222222,92.92024755
Malathion,Malathion,Mesotrione,Resistant,336,17,0.478,94.95554442,2.39,0.06,39.83333333,99.984
Malathion,Malathion,Mesotrione,Resistant,336,18,-0.024,99,-0.12,0.514,-0.233463035,99.987
Malathion,Malathion,Mesotrione,Resistant,336,19,-0.048,99,-0.24,1.282,-0.187207488,99.9874
Malathion,Malathion,Mesotrione,Resistant,336,20,-0.007,99,-0.035,0.984,-0.035569106,99.9874
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,12,1,13.559,0,67.795,0.571,118.7302977,0
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,12,2,8.648,0,43.24,0.208,207.8846154,0
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,12,3,13.093,0,65.465,0.467,140.1820128,0
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,12,4,10.941,0,54.705,0.598,91.47993311,0
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,24,5,3.875,69.07668981,19.375,0.567,34.17107584,75.51675282
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,24,6,6.766,46.00590535,33.83,0.798,42.39348371,69.62547667
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,24,7,4.927,60.68150986,24.635,1.074,22.93761639,83.56541848
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,24,8,7.023,43.95499162,35.115,1.103,31.83590209,77.18988236
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,72,9,1.08,91.38137419,5.4,1.009,5.351833499,96.16546277
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,72,10,2.143,82.89841194,10.715,1.666,6.431572629,95.39184007
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,72,11,0.697,94.43779427,3.485,0.995,3.502512563,97.49048344
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,72,12,1.185,90.54345224,5.925,1.4,4.232142857,96.96771035
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,168,13,0.898,92.83377224,4.49,2.495,1.799599198,98.71060448
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,168,14,0.529,95.7784694,2.645,1.805,1.465373961,98.95007365
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,168,15,0.212,98.30819567,1.06,1.607,0.659614188,99.52739278
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,168,16,0.211,98.31617588,1.055,2.26,0.466814159,99.66553214
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,336,17,0.064,99.48926662,0.32,0.701,0.456490728,99.67292878
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,336,18,0.266,97.87726438,1.33,0.115,11.56521739,99.71363298
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,336,19,0.077,99.3855239,0.385,1.129,0.341009743,99.7556698
Piperonyl butoxide,Piperonyl butoxide,Mesotrione,Resistant,336,20,0.137,98.90671136,0.685,1.593,0.430006277,99.69190464
R,No app.,Mesotrione,Resistant,12,1,11.886,0,59.43,0.931,93.813643,0
R,No app.,Mesotrione,Resistant,12,2,21.634,0,108.17,0.985,109.8172589,0
R,No app.,Mesotrione,Resistant,12,3,14.467,0,72.335,0.962,75.19230769,0
R,No app.,Mesotrione,Resistant,12,4,19.672,0,98.36,1.02,96.43137255,0
R,No app.,Mesotrione,Resistant,24,5,8.331,50.74712899,41.655,1.532,27.18994778,71.01706526
R,No app.,Mesotrione,Resistant,24,6,5.733,66.10650468,28.665,1.419,20.20084567,78.46704979
